participant;role;gender;financial_ relation;is_successful;origin_continent;residence_continent;origin_country;residence_country;intra-personal-affect;intra-personal-achievement;inter-personal-affect;inter-personal-achievement;affect;achievement;intra-personal;inter-personal
S1;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;1;1;0;1;1;1;1
S2;Coder;Man;Mostly Unpaid;I'm not sure;North America;North America;Brazil;Brazil;0;0;0;1;0;1;0;1
S3;NCoder;Man;Unpaid;Yes;Europe;Europe;France;Belgium;0;0;1;0;1;0;0;1
S4;Coder;Man;Mostly Unpaid;Yes;Europe;Europe;United States of America;United States of America;0;1;0;1;0;1;1;1
S5;NCoder;Man;Mostly Unpaid;Yes;South America;South America;Mexico;Mexico;0;0;1;1;1;1;0;1
S6;Coder;Man;Unpaid;Yes;Europe;Europe;Germany;Germany;0;0;1;1;1;1;0;1
S7;NCoder;Man;Mostly Unpaid;Yes;Europe;South America;Canada;Canada;0;0;1;0;1;0;0;1
S8;Coder;Man;Similar Mix of Paid/Unpaid;Yes;North America;North America;Germany;Germany;0;1;0;1;0;1;1;1
S9;NCoder;;;Yes;;;Germany;Germany;1;1;0;0;1;1;1;0
S10;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;0;0;1;0;1;0;0;1
S11;Coder;Man;Similar Mix of Paid/Unpaid;No;;;Spain;Germany;1;0;0;1;1;1;1;1
S12;Coder;Man;Mostly Paid;No;North America;North America;Spain;Germany;0;0;1;1;1;1;0;1
S13;Coder;Man;Unpaid;No;Asia;Asia;Spain;Germany;0;1;0;1;0;1;1;1
S14;Coder;Man;Unpaid;No;Europe;Europe;Spain;Germany;1;0;1;0;1;0;1;1
S15;Coder;Man;Unpaid;I'm not sure;South America;Europe;Brazil;Netherlands;0;1;1;0;1;1;1;1
S16;Coder;;Unpaid;No;North America;North America;United States of America;United States of America;0;0;1;0;1;0;0;1
S17;Coder;;Mostly Unpaid;Yes;North America;North America;United States of America;United States of America;1;0;1;0;1;0;1;1
S18;Coder;Man;Unpaid;I'm not sure;Africa;North America;Tunisia;United States of America;0;1;1;0;1;1;1;1
S19;NCoder;Man;Unpaid;I'm not sure;South America;South America;Brazil;Brazil;0;1;1;0;1;1;1;1
S20;Coder;Man;Unpaid;No;Oceania;Europe;New Zealand;United Kingdom of Great Britain and Northern Ireland;0;0;1;1;1;1;0;1
S21;Coder;Man;Mostly Unpaid;I'm not sure;Europe;Europe;Germany;Germany;1;0;1;0;1;0;1;1
S22;Coder;Man;Mostly Paid;I'm not sure;Europe;Europe;Italy;Italy;0;0;1;0;1;0;0;1
S23;NCoder;nonbinary;Unpaid;Yes;North America;North America;United States of America;United States of America;0;0;1;1;1;1;0;1
S24;Coder;Man;Similar Mix of Paid/Unpaid;I'm not sure;Asia;North America;India;United States of America;1;0;1;0;1;0;1;1
S25;Coder;Man;Mostly Unpaid;I'm not sure;North America;North America;United States of America;United States of America;1;0;0;1;1;1;1;1
S26;Coder;Man;Unpaid;No;South America;South America;Brazil;Brazil;1;0;0;1;1;1;1;1
S27;Coder;Man;Unpaid;I'm not sure;Europe;Europe;Netherlands;Netherlands;0;1;0;1;0;1;1;1
S28;Coder;Man;Unpaid;No;North America;North America;United States of America;United States of America;0;0;1;0;1;0;0;1
S29;Coder;Man;Paid;Yes;Europe;Europe;France;Belgium;0;0;1;1;1;1;0;1
S30;Coder;Man;Similar Mix of Paid/Unpaid;No;South America;South America;Brazil;Brazil;0;0;1;1;1;1;0;1
